Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1266.0,1500,1808
1,YCA,1911.0,3000,2730
1,YHB,2607.0,3928,3724
1,YJC,1868.0,3000,2614
1,YNC,2072.0,2868,2959
1,YSD,1530.0,2213,2185
2,Y0M,1179.0,1800,1683
2,YCA,1779.0,2100,2541
2,YHB,2427.0,3583,3466
2,YJC,1735.0,2700,2433
2,YNC,1928.0,2828,2754
2,YSD,1427.0,2174,2034
3,Y0M,1266.0,2000,1808
3,YCA,2073.0,2900,2730
3,YHB,2607.0,3402,3724
3,YJC,1831.0,1960,2614
3,YNC,2072.0,2976,2959
3,YSD,1745.0,2017,2185
4,Y0M,1356.0,2300,1936
4,YCA,2590.0,5000,3699
4,YHB,1994.0,3693,2660
4,YJC,2041.0,2067,2550
4,YNC,2027.0,2806,2895
4,YSD,1664.0,2203,2365
5,Y0M,1440.0,1500,1867
5,YCA,2497.0,3200,3567
5,YHB,1795.0,2000,2564
5,YJC,1723.0,3000,2459
5,YNC,1970.0,2724,2791
5,YSD,1596.0,2698,2280
6,Y0M,1258.0,1800,1797
6,YCA,2404.0,2500,3434
6,YHB,1729.0,2000,2469
6,YJC,1657.0,2309,2367
6,YNC,1891.0,2842,2687
6,YSD,1744.0,1939,2195
7,Y0M,1063.0,1500,1518
7,YCA,1775.0,2400,2530
7,YHB,2540.0,2500,3628
7,YJC,1696.0,1500,2422
7,YNC,2271.0,3000,3244
7,YSD,1754.0,2652,2505
8,Y0M,1186.0,1500,1518
8,YCA,1771.0,2800,2530
8,YHB,2679.0,3255,3628
8,YJC,1696.0,3000,2422
8,YNC,2271.0,4000,3244
8,YSD,1889.0,2119,2505
9,Y0M,1025.0,1500,1464
9,YCA,1708.0,2300,2439
9,YHB,2449.0,5000,3498
9,YJC,1635.0,2680,2335
9,YNC,2189.0,2615,3127
9,YSD,1691.0,2655,2415
10,Y0M,1063.0,1500,1518
10,YCA,1819.0,2500,2598
10,YHB,2297.0,3087,3281
10,YJC,1902.0,2900,2717
10,YNC,1910.0,2803,2710
10,YSD,1465.0,1923,2092
11,Y0M,1063.0,1500,1518
11,YCA,1819.0,2500,2598
11,YHB,2355.0,3500,3281
11,YJC,1902.0,3200,2717
11,YNC,1898.0,2727,2710
11,YSD,1467.0,1958,2092
12,Y0M,1083.0,1500,1464
12,YCA,1754.0,2700,2505
12,YHB,2216.0,3138,3163
12,YJC,1875.0,1955,2620
12,YNC,1830.0,2503,2613
12,YSD,1413.0,2319,2017
